Venue Name,Venue Address,Venue Phone,Venue Neighborhood,Venue Website,special Offer
Altitude Spirits,"2805 Wilderness Place, Suite 200, Boulder, CO 80301",(720)249-2463,,AltitudeSpirits.com,Specialty Cocktails
Arcana,"909 Walnut St, Boulder, Colorado 80302",(303)444-3885,,ArcanaRestaurant.com,"Speciality Cocktails, Draft Ciders, Draft Beers, Classic Cocktails, or Bartenders Choice"
Arugula Restaurant,"2785 Iris Ave, Boulder, CO 80304",(303)443-5100,,ArugulaRistorante.com,"Tenuta Sette Cieli, 2013 Yantra"
Blackbelly,"1606 Conestoga St. #3, Boulder, Colorado 80301",(303)247-1000,,BlackBelly.com,Girlfriend is Better 
BRU handbuilt ales & eats,"5290 Arapahoe Ave. Unit I, Boulder, CO 80303",(720)638-5193,,BruBoulder.com,Handbuilt Ales
Cafe Aion,"1235 Pennsylvania Ave. Boulder, CO 80302",(303)993-8131,,CafeAion.com,Sangria
Centro Latin Kitchen,"950 Pearl St. Boulder, CO 80302",(303)442-7771,,CentroLatinKitchen.com,Watermelon Margarita
The Cheese Course,"2525 Arapahoe Ave. Boulder, CO 80302",(720)536-5228,,TheCheeseCourse.com,House Wine
Finkel & Garf Brewing Company,"5455 Spine Rd. Unit A, Boulder, CO 80301",(720)379-6042,,FinkelAndGarf.com,Select Pints
Foolish Craig's Cafe,"1611 Pearl St. Boulder, CO 80302",(303)247-9383,,FoolishCraigs.com,Specialty Mimosa
Fresh Thymes Eatery,"2500 30th St #101, Boulder, CO 80301",(303)955-7988,,FreshThymesEatery.com,Summer Sippin' Wine or Beer
Geek Spirits Distillery,"6880 Winchester Cir. #D, Boulder, CO 80301",(303)330-4781,,GeekSpirits.com,Signature Cocktails
The Ghost BBQ,"2028 14th St. Boulder, CO 80302",(303)998-9350,,TheGhostBBQ.com,The Ghost Flower
The Hungry Toad,"2543 Broadway St. Boulder, CO 80304",(303)442-5012,,TheHungryToad.com,Select Imperial Pints
Illegal Pete's,"1447 Pearl St. Boulder, CO 80302",(303)440-3955,,IllegalPetes.com,House Specialties
Japango,"1136 Pearl St. Boulder, CO 80302",(303)938-0330,,BoulderJapango.com,Seasonal Gourmet Sake-Sangrias
Jax Fish House,"928 Pearl St. Boulder, CO 80302",(303)444-1811,,JaxFishHouse.com,House Infusions
J&L Distilling Company,"4843 Pearl St. Boulder, CO 80301",(720)400-1907,,JLDistilling.com,Cocktails
Johnny's Cigar / Martini Bar,"1801 13th St. Suite 110, Boulder, CO 80302",(303)449-0084,,JohnnysCigarBar.com,New Belgin Citradelic IPA or Moscow Mule
Mateo Provencal,"1837 Pearl St. Boulder, CO 80302",(303)443-7766,,MateoRestaurant.com,High Thyme                                           
The Next Door Cummunity Pub,"1035 Pearl St. Boulder, CO 80302",(720)542-8159,,TheKitchen.com,"Beer, Wine, or Specialty Cocktail"
The North End at 4580,"4580 Broadway St. Boulder, Colorado 80304",(303)448-1500,,NorthEndBoulder.com,"Draft Pints, Wine By the Glass, or 4580 Coin Margarita"
OAK at fourteenth,"1400 Pearl St. Boulder, CO 80302",(303)444-3622,,OakAtFourteenth.com,House Tap Cocktail
Pizzeria da Lupo,"2525 Arapahoe Ave. C-1, Boulder, CO 80302",(303)396-6366,,PizzeriaDaLupo.com/,Beer or Wine
Protos Pizza,"4670 Broadway St. Boulder, Colorado 80304",(720)565-1050,,ProtosPizza.com,"Mojito, Sangria, or House Wine"
Riffs Urban Fare,"1115 Pearl St. Boulder, CO 80302",(303)440-6699,,RiffsBoulder.com,Cilantro Gimlet
The Riverside,"1724 Broadway St. Boulder, CO 80302",(720)443-2322,,BoulderRiverside.com,Patio Cocktails
Rueben's,"1800 Broadway St. Boulder, CO 80302",(303)443-5000,,RuebensBurgerBistro.com,Brother Rueben Tripel
Salt,"1047 Pearl St. Boulder, CO 80302",(303)444-7258,,SaltTheBistro.com,Cocktail Element
Sanitas Brewing Company,"3550 Frontier Ave. Unit A, Boulder, Colorado 80301",(303)442-4130,,SanitasBrewing.com,Core Beers
Scotts on Alpine,"1265 Alpine St. Boulder, Colorado 80304",(303)442-6100,,ScottsOnAlpine.com,Dealers Choice Cocktail
Settembre Cellars,"1501 Lee Hill Rd. #15 Boulder, Colorado 80304 ",(303)532-1892,,SettembreCellars.com,Tasting Flight
Shine Restaurant & Gathering Place,"2027 13th St. Boulder, CO 80302",(303)449-0120,,ShineBoulder.com,Non-imperial House Brewed Beer or Shine Potions Permission Sips
SiP,"2810 E. College Ave. #3, Boulder, CO 80303",(303)544-2000,,SipBoulder.com,Local Craft Beer on Tap or House Wine
Spruce Farm and Fish,"2115 13th Ave. Boulder, CO 80302",(303)442-4880,,SpruceBoulderado.com,"Specialty Cocktails, Draft Pints, or Wines by the Glass"
Tangerine,"2777 Iris Ave. Boulder, Colorado 80304",(303)443-2338,,TangerineBoulder.com,Bellini or Bloody Mary
Upslope Brewing Company,"1898 S. Flatiron Ct. Boulder, Colorado 80301",(303)396-1898,,UpslopeBrewing.com,Core Beers
Vapor Distillery,"5311 Western Ave. STE 180, Boulder, CO 80301",(303)997-6134,,VaporDistillery.com,Cocktails
Verde,"3070 28th St. B, Boulder, CO 80301",(720)470-4348,,VerdeBoulder.com,House Margarita or Seasonal Draft
West End Tavern,"926 Pearl St. Boulder, CO 80302",(303)444-3535,,TheWestEndTavern.com,Bartender's Choice Cocktail
West Flanders Brewing Company,"1125 Pearl St. Boulder, CO 80302",(303)447-2739,,WFBrews.com,House Beer
Wild Standard,"1043 Pearl St. Boulder, CO 80302",(720)638-4800,,WildStandard.com,Siren Call
Wild Woods Brewery,"5460 Conestoga Ct. Boulder, CO 80301",(303)484-1465,,WildWoodsBrewery.com,Year Round Beers
Zolo Grill,"2525 Arapahoe Ave. Boulder, CO 80302",(303)449-0444,,ZoloGrill.com,Zolorita
Illegal Pete's,"1124 13th St. Boulder, CO 80302",(303)444-3055,,IllegalPetes.com,House Specialties
Upslope Brewing Company,"1501 Lee Hill Rd. #20, Boulder, CO 80304",(303)449-2911,,UpslopeBrewing.com,Core Beers
