Venue Name,Venue Address,Venue Phone,Venue Neighborhood,Venue Website,2for1 Offer
Aloy Modern Thai,2134 Larimer St, (303)379-9497,Ballpark,AloyModernThai.com,Draft Beers or House Mai Tais
Atomic Cowboy ,141 S Broadway; 4275 Tennyson St; 3237 E Colfax Ave, (303)377-7900,S Broadway; Tennyson; E Colfax,AtomicCowboy.net/,Drafts
Atticus,1135 E Evans Ave, (303)459-8273,DU,AtticusDenver.com,Any Specialty Cocktails Including Brunch Cocktails
Baere Brewing Company,320 Broadway , (303)733-3354,Baker,BaereBrewing.com,Non-Barrel Aged (10 oz) Pours 
Bar Fausto,3126 Larimer St, (720)445-9691,RiNo,BarFausto.com,"White Sangria, Red Sangria, or Choice of Dad Beers"
Bar Max,2412 E Colfax Ave, (303)333-0003,Congress Park,BarMax.co,Cucumber Martinis
Bear Creek Distillery,1879 S Acoma St, (303)955-4638,Platt Park,BearCreekDistillery.com,Handcrafted Cocktails
BELLWETHER,5126 E Colfax Ave, (720)398-9251,Mayfair,Bellwether.Club,House Cocktail
Blackbird Public House,305 S Downing St, (303)733-3923,W Wash Park,BlackbirdPublicHouse.com,Brunch Old Fashioned or The Elder Bird Cocktail
Blue Island Oyster Bar,2625 E 2nd St, (303)333-2462,Cherry Creek N,BlueIslandOysterBar.com,Mezcal Palomas or Cherry Creek Mules
Call to Arms Brewing Company,4526 Tennyson St, (720)328-8258,Berkeley,CallToArmsBrewing.com,"Tennyson Standard Kolsch, Clintonian Pale Ale, Burkhalter Dunkelweizen, Amigos Borrachos Vienna Lager, Oats and Hose Oatmeal Porter, or Freedom Fries Saison "
Cerebral Brewing,1477 Monroe St, (303)927-7365,Congress Park,CerebralBrewing.com,"Muscle Memory, Rare Trait, Known Entities, or Dark Galaxie"
Colt & Gray,1553 Platte St, (303)477-1447,Riverfront,ColtAndGray.com,Theme & Variation Menu
The Crimson Room,1403 Larimer St, (720)639-6987,Larimer Square,TheCrimsonRoom.com,"Brown Derby, Bees Knees, or House Gimlet"
DAE GEE KOREAN BBQ,827 Colorado Blvd; 460 Broadway, (720)639-9986; (720)542-3164,Congress Park; Baker,DaeGee.com,Dae Gee Pint or Shot of Soju
Dive Inn,1380 S Broadway, (720)242-6157,Platt Park,DiveInnDenver.com,Classic Moscow Mules
Factotum Brewhouse,3845 Lipan St, (720)441-4735,Sunnyside,FactotumBrewhouse.com,Drafts
FIRE Restaurant at the ART Hotel,1201 Broadway, (720)709-4431,Golden Triangle,TheArtHotel.com,"Negroni, Monet's Buck, or Vieux Astuce
"
Former Future Brewing Company,1290 S Broadway, (720)441-4253,Platt Park,EmbraceGoodTaste.com,Pints 
Fort Greene,321 E 45th Ave, (303)362-0197,Globeville,FortGreeneDenver.com,Kingston
Globe Hall,4483 Logan St, (720)668-8833,Globeville,GlobeHall.com/,Mules or Margs
Goldspot Brewing Company,4970 Lowell Blvd, (303)955-5657,Berkeley,GoldspotBrewing.com,Draft Beers
Great Divide Brewing Company Barrel Bar,1812 35th St,(303)296-9460,RiNo,GreatDivide.com,Denver Pale Ale Pints
Homegrown Tap & Dough,1001 S Gaylord St, (720)459-8736,Wash Park,TapandDough.com,Odell or Avery Rotating Draft Beer
Hopdoddy Burger Bar,1747 Wynkoop St, (303)446-2337,LoDo,HopDoddy.com,"Classic Frozen & Doble Fina Margaritas, Mighty Mule, Black Cherry Hard Limeade, or LODO Sweet Tea"
Humboldt farm.fish.wine,1700 Humboldt St, (303)813-1700,Uptown,HumboldtRestaurant.com,Orange is the New Grey or Humboldt Signature Draft Beer 
Illegal Pete's,2001 E Colfax; 270 S Broadway; 1744 E Evans Ave; 1530 16th St,(720)723-2703; (720)287-5233;  (720)974-2198; (303)623-2169,E Colfax; S Broadway; DU; LoDo,IllegalPetes.com,House Specialties
Interstate Kitchen & Bar,1001 Santa Fe Dr, (720)479-8829,Lincoln Park,InterstateRestaurant.com,Whiskey
Jax Fish House Lodo,1539 17th St, (303)292-5767,LoDo,JaxFishHouse.com/LoDo/,House Infusion Cocktails or Oyster Shooters
Laws Whiskey House,1420 S Acoma St, (720)570-1420,Antique Row,LawsWhiskeyHouse.com,Distillery Tours
Leopold Bros.,5285 Joliet St,,NW Denver,LeopoldBros.com,Tours. Must schedule online at LeopoldBros.com in advance. Use code LBSP24116 for The Connoisseur Tour.
Little Machine Beer,2924 W 20th Ave, (303)284-7893,Jefferson Park,LittleMachineBeer.com,Draft Beers
Lola,1575 Boulder St, (720)570-8686,LoHi,LolaDenver.com,House Infusion Cocktails
Luca,711 Grant St, (303)832-6600,Governors Park,LucaDenver.com/,Aperol Spritz or Select Glass of Red or White Wine
MCA Denver Cafe & Bar,1485 Delgany St, (303)298-7554,LoDo,MCADenver.org,Beers or Wines
Mell's Cheese,3000 Zuni St, (303)455-9555,LoHi,MellsCheese.com,"Wine by the Glass, Draft Beers, or Begonia Sangrias"
The Molecule Effect,1201 Santa Fe Dr, (720)502-6966,Santa Fe Art District,TheMoleculeEffect.com,"Specialty Cocktails from ""Mixed Chemistry List"""
