Venue Name,Venue Address,Venue Phone,Venue Neighborhood,Venue Website,special Offer
2 South Food & Wine Bar,"2 S. 25th St, Colorado Springs, CO 80919", (719)351-2806,,2SouthWineBar.com,Tap Wine or Beer
503W,"503 W. Colorado Ave., Colorado Springs, Colorado 80905", (719)471-3370,,503w.co,Canned Beer up to $6
Bar-K,"124 E. Costilla Ave., Colorado Springs, Colorado 80903", (719)358-7788,,BarKCocktails.com,Colorado Craft Cocktails
Bingo Burger,"132 N Tejon St., Colorado Springs, Colorado 80903", (719)418-6223,,BingoBurger.com,Drafts
The Blue Star,"1645 S. Tejon St., Colorado Springs, Colorado 80905", (719)632-1086,,TheBlueStar.net,Glass of Wine
Bristol Brewing Company,"1604 S Cascade Ave, Colorado Springs, Colorado 80905", (719)633-2555,,BristolBrewing.com,Pints
Brooklyns on Boulder St.,"110 E. Boulder Street, Colorado Springs, CO 80903", (719)415-3115,,BrooklynsOnBoulder.com,Cocktails
The Coffee Exchange,"526 S. Tejon St., Colorado Springs, CO 80903", (719)635-0277,,TheCoffeeExchangeColorado.com,
Cogstone Brewing Co.,"3858 Village Seven Rd., Colorado Springs, Colorado 80917", (719)418-6595,,CogstoneBrewing.com,Drafts up to $5
Fieldhouse Brewing Company,"521 S. Tejon St., Colorado Springs, CO 80903", (719)354-4143,,FieldhouseBrew.com,Pints
Fossil Craft Beer Company,"2845 Ore Mill Rd, Unit 1, Colorado Springs, CO 80904", (719)375-8298,,FossilBrewing.com,Drafts
Gold Camp Brewing Company,"1007 S. Tejon St., Colorado Springs, Colorado 80903", (719)695-0344,,GoldCampBrewing.com,Pints
Great Storm Brewing,"204 Mount View Lane, Unit 3, Colorado Springs, CO 80919", (719)266-4200,,GreatStormBrewing.com,Pints
Iron Bird Brewing Co.,"402 S. Nevada Ave., Colorado Springs, Colorado 80903", (719)424-7002,,IronBirdBrewing.com,Pints
Jack Quinn's Irish Pub & Restaurant,"21 S Tejon, Co Springs, CO 80903", (719)385-0766,,JackQuinnsPub.com,Carbomb
La'au's Taco Shop,"830 N. Tejon St., Colorado Springs, Colorado 80903", (719)578-5228,,LaausTacoShop.com,Margaritas
Manitou Brewing Company,"725 Manitou Ave, Ste 3, Manitou Springs, Colorado 80829", (719)282-7709,,Manitou-Brewing.com,Half Pints
McCabe's Tavern,"520 S Tejon St, Colorado Springs, Co 80903", (719)633-3300,,McCabesTavern.com,Colorado Craft Beers
Nosh,"121 S. Tejon St., Colorado Springs, Colorado 80903", (719)634-6674,,Nosh121.com,Sake Cocktails
Odyssey Gastropub,"311 N. Tejon St., Colorado Springs, Colorado 80903", (719)999-5127,,OdysseyGastropub.com,Draft Beer or House Wine
Peak Place Coffeehouse,"2360 Montebello Square Drive Ste H1, Colorado Springs, Colorado 80918", (719)445-1050,,PeakPlaceCoffeehouse.com,Beer or Wine
Peaks N Pines Brewing Company,"4005 Tutt Blvd, Colorado Springs, Colorado 80922", (719)358-6758,,PeaksNPinesBrewery.com,Pints
Poor Richard's Restaurant ,"322 - 324 N. Tejon St., Colorado Springs, Colorado 80903", (719)578-5549,,PoorRichardsDowntown.com,Glass of Wine
The Principal's Office,"1604 S. Cascade Ave., Colorado Springs, Colorado 80905", (719)368-6112,,PoAtIvywild.com,Menu Cocktails
The Public House,"445 E. Cheyenne Mtn. Blvd., Colorado Springs, CO 80906", (719)465-3079,,,Pints
Rasta Pasta,"405 N. Tejon, Colorado Springs, CO 80903", (719)481-6888,,RastaPastaCS.com,"Red Stripe Beer, House Rum Punch or House Wine"
Red Leg Brewing ,"4630 Forge Rd STE B, Colorado Springs, CO 80907", (719)598-3776,,RedLegBrewing.com,Pints
Rico's Cafe and Wine Bar,"322 N. Tejon St., Colorado Springs, Colorado 80903", (719)578-5549,,PoorRichardsDowntown.com,Glass of Wine
Sonterra Grill,"28B S Tejon St, Colorado Springs, Colorado 80903", (719)471-9222,,SonterraGrill.com,House Margarita or Draft Beer
Triple S Brewing Company,"318 east colorado ave sutie C, Colorado Springs, Colorado 80903", (719)344-5477,,TripleSBrewing.com,Craft Beer
Urban Steam,"1025 S. Sierra Madre St, Colorado Springs, CO 80903", (719)473-7832,,UrbanSteamCoffee.com,Whisky Sour or Kentucky Mule
The Ute & Yeti,"21 North Nevada Ave., Colorado Springs, CO 80903", (719)634-0003,,TheUteAndYeti.com,Cans of Craft Beer
Whistle Pig Brewing ,"1840 Dominion Way, Colorado Springs, Colorado 80918", (719)598-1339,,WhistlePigBrewing.com,Pints
The Wild Goose Meeting House,"401 N. Tejon St., Colorado Springs, Colorado 80903", ,,WildGooseMeetingHouse.com,Drafts up to $5
